2696 481 321
135 93 7 1
136 93 7 1
137 93 7 1
138 93 7 1
139 93 7 1
140 93 7 1
141 93 7 1
142 93 7 1
128 163 10 1
192 124 4 1
129 163 10 1
193 124 4 1
130 163 10 1
194 124 4 1
131 163 10 1
195 124 4 1
132 163 10 1
196 124 4 1
197 124 4 1
198 124 4 1
341 217 5 1
342 217 5 1
343 217 5 1
292 15 9 0
344 217 5 1
293 15 9 0
345 217 5 1
294 15 9 0
346 217 5 1
295 15 9 0
347 217 5 1
296 15 9 0
297 15 9 0
195 194 4 1
330 287 5 1
298 15 9 0
196 194 4 1
331 287 5 1
197 194 4 1
332 287 5 1
198 194 4 1
333 287 5 1
199 194 4 1
334 287 5 1
200 194 4 1
335 287 5 1
201 194 4 1
336 287 5 1
121 202 12 1
122 202 12 1
123 202 12 1
142 132 7 1
124 202 12 1
143 132 7 1
125 202 12 1
144 132 7 1
126 202 12 1
145 132 7 1
127 202 12 1
146 132 7 1
128 202 12 1
147 132 7 1
148 132 7 1
195 163 4 1
196 163 4 1
197 163 4 1
198 163 4 1
199 163 4 1
200 163 4 1
336 256 5 1
201 163 4 1
337 256 5 1
338 256 5 1
339 256 5 1
340 256 5 1
341 256 5 1
342 256 5 1
195 233 4 1
196 233 4 1
197 233 4 1
198 233 4 1
199 233 4 1
200 233 4 1
201 233 4 1
140 101 7 1
141 101 7 1
142 101 7 1
143 101 7 1
144 101 7 1
145 101 7 1
146 101 7 1
147 101 7 1
194 132 4 1
195 132 4 1
196 132 4 1
197 132 4 1
198 132 4 1
199 132 4 1
200 132 4 1
340 225 5 1
289 23 9 0
341 225 5 1
290 23 9 0
342 225 5 1
291 23 9 0
343 225 5 1
292 23 9 0
344 225 5 1
293 23 9 0
345 225 5 1
294 23 9 0
346 225 5 1
295 23 9 0
296 23 9 0
195 202 4 1
196 202 4 1
197 202 4 1
198 202 4 1
199 202 4 1
200 202 4 1
201 202 4 1
141 140 7 1
341 194 5 1
142 140 7 1
342 194 5 1
343 194 5 1
344 194 5 1
345 194 5 1
346 194 5 1
347 194 5 1
130 210 12 1
195 171 4 1
196 171 4 1
197 171 4 1
198 171 4 1
199 171 4 1
334 264 5 1
200 171 4 1
335 264 5 1
201 171 4 1
336 264 5 1
337 264 5 1
338 264 5 1
339 264 5 1
340 264 5 1
195 241 4 1
196 241 4 1
197 241 4 1
198 241 4 1
199 241 4 1
200 241 4 1
201 241 4 1
296 132 6 1
144 109 7 1
145 109 7 1
146 109 7 1
147 109 7 1
129 179 12 1
148 109 7 1
149 109 7 1
150 109 7 1
195 140 4 1
196 140 4 1
197 140 4 1
198 140 4 1
199 140 4 1
200 140 4 1
201 140 4 1
285 31 9 0
286 31 9 0
287 31 9 0
288 31 9 0
340 233 5 1
289 31 9 0
341 233 5 1
290 31 9 0
342 233 5 1
291 31 9 0
343 233 5 1
292 31 9 0
344 233 5 1
345 233 5 1
346 233 5 1
195 210 4 1
196 210 4 1
197 210 4 1
198 210 4 1
199 210 4 1
200 210 4 1
201 210 4 1
64 187 13 1
65 187 13 1
66 187 13 1
67 187 13 1
68 187 13 1
341 202 5 1
342 202 5 1
343 202 5 1
344 202 5 1
345 202 5 1
346 202 5 1
347 202 5 1
195 179 4 1
196 179 4 1
197 179 4 1
332 272 5 1
198 179 4 1
333 272 5 1
199 179 4 1
334 272 5 1
200 179 4 1
335 272 5 1
201 179 4 1
336 272 5 1
337 272 5 1
338 272 5 1
125 187 12 1
126 187 12 1
145 117 7 1
127 187 12 1
146 117 7 1
128 187 12 1
147 117 7 1
129 187 12 1
148 117 7 1
130 187 12 1
149 117 7 1
131 187 12 1
150 117 7 1
195 148 4 1
151 117 7 1
196 148 4 1
280 39 9 0
197 148 4 1
281 39 9 0
198 148 4 1
282 39 9 0
199 148 4 1
283 39 9 0
200 148 4 1
284 39 9 0
201 148 4 1
285 39 9 0
286 39 9 0
339 241 5 1
340 241 5 1
341 241 5 1
342 241 5 1
343 241 5 1
344 241 5 1
345 241 5 1
195 218 4 1
196 218 4 1
197 218 4 1
198 218 4 1
199 218 4 1
200 218 4 1
201 218 4 1
191 117 4 1
192 117 4 1
193 117 4 1
194 117 4 1
195 117 4 1
196 117 4 1
341 210 5 1
342 210 5 1
343 210 5 1
344 210 5 1
345 210 5 1
346 210 5 1
347 210 5 1
195 187 4 1
196 187 4 1
331 280 5 1
197 187 4 1
332 280 5 1
198 187 4 1
333 280 5 1
199 187 4 1
334 280 5 1
200 187 4 1
335 280 5 1
201 187 4 1
336 280 5 1
337 280 5 1
122 195 12 1
123 195 12 1
124 195 12 1
143 125 7 1
125 195 12 1
144 125 7 1
126 195 12 1
145 125 7 1
127 195 12 1
146 125 7 1
128 195 12 1
147 125 7 1
148 125 7 1
277 47 9 0
149 125 7 1
278 47 9 0
150 125 7 1
195 156 4 1
279 47 9 0
196 156 4 1
280 47 9 0
197 156 4 1
281 47 9 0
198 156 4 1
282 47 9 0
199 156 4 1
283 47 9 0
200 156 4 1
201 156 4 1
337 249 5 1
338 249 5 1
339 249 5 1
340 249 5 1
341 249 5 1
342 249 5 1
343 249 5 1
195 226 4 1
196 226 4 1
197 226 4 1
198 226 4 1
199 226 4 1
200 226 4 1
201 226 4 1
136 94 7 1
137 94 7 1
138 94 7 1
139 94 7 1
140 94 7 1
141 94 7 1
142 94 7 1
143 94 7 1
127 164 10 1
128 164 10 1
192 125 4 1
129 164 10 1
193 125 4 1
130 164 10 1
194 125 4 1
131 164 10 1
195 125 4 1
132 164 10 1
196 125 4 1
133 164 10 1
197 125 4 1
198 125 4 1
341 218 5 1
342 218 5 1
343 218 5 1
292 16 9 0
344 218 5 1
293 16 9 0
345 218 5 1
294 16 9 0
346 218 5 1
295 16 9 0
347 218 5 1
296 16 9 0
297 16 9 0
195 195 4 1
330 288 5 1
298 16 9 0
196 195 4 1
331 288 5 1
197 195 4 1
332 288 5 1
198 195 4 1
333 288 5 1
199 195 4 1
334 288 5 1
200 195 4 1
335 288 5 1
201 195 4 1
336 288 5 1
121 203 12 1
122 203 12 1
141 133 7 1
123 203 12 1
142 133 7 1
124 203 12 1
143 133 7 1
125 203 12 1
144 133 7 1
126 203 12 1
145 133 7 1
127 203 12 1
146 133 7 1
128 203 12 1
147 133 7 1
129 203 12 1
130 203 12 1
195 164 4 1
196 164 4 1
197 164 4 1
198 164 4 1
199 164 4 1
200 164 4 1
201 164 4 1
336 257 5 1
337 257 5 1
338 257 5 1
339 257 5 1
340 257 5 1
341 257 5 1
342 257 5 1
195 234 4 1
196 234 4 1
197 234 4 1
198 234 4 1
199 234 4 1
200 234 4 1
201 234 4 1
67 141 11 1
140 102 7 1
141 102 7 1
142 102 7 1
296 125 6 1
143 102 7 1
144 102 7 1
145 102 7 1
146 102 7 1
147 102 7 1
148 102 7 1
194 133 4 1
195 133 4 1
196 133 4 1
197 133 4 1
198 133 4 1
199 133 4 1
200 133 4 1
340 226 5 1
289 24 9 0
341 226 5 1
290 24 9 0
342 226 5 1
291 24 9 0
343 226 5 1
292 24 9 0
344 226 5 1
293 24 9 0
345 226 5 1
294 24 9 0
346 226 5 1
295 24 9 0
296 24 9 0
195 203 4 1
196 203 4 1
197 203 4 1
198 203 4 1
199 203 4 1
200 203 4 1
201 203 4 1
341 195 5 1
342 195 5 1
343 195 5 1
344 195 5 1
345 195 5 1
346 195 5 1
347 195 5 1
195 172 4 1
196 172 4 1
197 172 4 1
198 172 4 1
199 172 4 1
334 265 5 1
200 172 4 1
335 265 5 1
201 172 4 1
336 265 5 1
337 265 5 1
338 265 5 1
339 265 5 1
340 265 5 1
195 242 4 1
196 242 4 1
197 242 4 1
198 242 4 1
199 242 4 1
200 242 4 1
201 242 4 1
144 110 7 1
145 110 7 1
127 180 12 1
146 110 7 1
128 180 12 1
147 110 7 1
129 180 12 1
148 110 7 1
130 180 12 1
149 110 7 1
131 180 12 1
150 110 7 1
195 141 4 1
196 141 4 1
197 141 4 1
198 141 4 1
199 141 4 1
200 141 4 1
284 32 9 0
201 141 4 1
285 32 9 0
286 32 9 0
287 32 9 0
288 32 9 0
340 234 5 1
289 32 9 0
341 234 5 1
290 32 9 0
342 234 5 1
291 32 9 0
144 180 8 0
343 234 5 1
344 234 5 1
345 234 5 1
346 234 5 1
195 211 4 1
196 211 4 1
197 211 4 1
198 211 4 1
199 211 4 1
200 211 4 1
201 211 4 1
64 188 13 1
65 188 13 1
66 188 13 1
67 188 13 1
68 188 13 1
341 203 5 1
342 203 5 1
343 203 5 1
344 203 5 1
345 203 5 1
346 203 5 1
347 203 5 1
195 180 4 1
196 180 4 1
197 180 4 1
332 273 5 1
198 180 4 1
333 273 5 1
199 180 4 1
334 273 5 1
200 180 4 1
335 273 5 1
201 180 4 1
336 273 5 1
337 273 5 1
338 273 5 1
124 188 12 1
125 188 12 1
126 188 12 1
145 118 7 1
127 188 12 1
146 118 7 1
128 188 12 1
147 118 7 1
129 188 12 1
148 118 7 1
130 188 12 1
149 118 7 1
131 188 12 1
150 118 7 1
195 149 4 1
132 188 14 1
279 40 9 0
151 118 7 1
196 149 4 1
133 188 14 1
280 40 9 0
197 149 4 1
281 40 9 0
198 149 4 1
282 40 9 0
199 149 4 1
283 40 9 0
200 149 4 1
284 40 9 0
201 149 4 1
285 40 9 0
286 40 9 0
338 242 5 1
339 242 5 1
340 242 5 1
341 242 5 1
342 242 5 1
343 242 5 1
344 242 5 1
195 219 4 1
196 219 4 1
197 219 4 1
198 219 4 1
199 219 4 1
200 219 4 1
201 219 4 1
190 118 4 1
191 118 4 1
192 118 4 1
193 118 4 1
194 118 4 1
195 118 4 1
196 118 4 1
197 118 4 1
341 211 5 1
342 211 5 1
343 211 5 1
344 211 5 1
345 211 5 1
346 211 5 1
295 9 9 0
347 211 5 1
195 188 4 1
331 281 5 1
196 188 4 1
332 281 5 1
197 188 4 1
333 281 5 1
198 188 4 1
334 281 5 1
199 188 4 1
335 281 5 1
200 188 4 1
336 281 5 1
201 188 4 1
337 281 5 1
122 196 12 1
123 196 12 1
124 196 12 1
143 126 7 1
125 196 12 1
144 126 7 1
126 196 12 1
145 126 7 1
127 196 12 1
146 126 7 1
128 196 12 1
147 126 7 1
148 126 7 1
149 126 7 1
278 48 9 0
195 157 4 1
279 48 9 0
196 157 4 1
280 48 9 0
197 157 4 1
281 48 9 0
198 157 4 1
282 48 9 0
199 157 4 1
200 157 4 1
201 157 4 1
337 250 5 1
338 250 5 1
339 250 5 1
340 250 5 1
341 250 5 1
342 250 5 1
343 250 5 1
195 227 4 1
196 227 4 1
197 227 4 1
198 227 4 1
199 227 4 1
200 227 4 1
201 227 4 1
136 95 7 1
137 95 7 1
138 95 7 1
139 95 7 1
140 95 7 1
141 95 7 1
142 95 7 1
143 95 7 1
128 165 10 1
192 126 4 1
129 165 10 1
193 126 4 1
130 165 10 1
194 126 4 1
131 165 10 1
195 126 4 1
132 165 10 1
196 126 4 1
197 126 4 1
198 126 4 1
341 219 5 1
342 219 5 1
343 219 5 1
292 17 9 0
344 219 5 1
293 17 9 0
345 219 5 1
294 17 9 0
346 219 5 1
295 17 9 0
347 219 5 1
296 17 9 0
297 17 9 0
195 196 4 1
298 17 9 0
196 196 4 1
331 289 5 1
197 196 4 1
332 289 5 1
198 196 4 1
333 289 5 1
199 196 4 1
334 289 5 1
200 196 4 1
335 289 5 1
201 196 4 1
121 204 12 1
140 134 7 1
122 204 12 1
141 134 7 1
123 204 12 1
142 134 7 1
124 204 12 1
143 134 7 1
125 204 12 1
144 134 7 1
126 204 12 1
145 134 7 1
127 204 12 1
146 134 7 1
128 204 12 1
147 134 7 1
129 204 12 1
130 204 12 1
131 204 12 1
195 165 4 1
132 204 12 1
196 165 4 1
197 165 4 1
198 165 4 1
199 165 4 1
200 165 4 1
201 165 4 1
336 258 5 1
337 258 5 1
338 258 5 1
339 258 5 1
340 258 5 1
341 258 5 1
342 258 5 1
195 235 4 1
196 235 4 1
197 235 4 1
198 235 4 1
199 235 4 1
65 142 11 1
200 235 4 1
66 142 11 1
201 235 4 1
67 142 11 1
68 142 11 1
69 142 11 1
294 126 6 1
141 103 7 1
295 126 6 1
142 103 7 1
296 126 6 1
143 103 7 1
297 126 6 1
144 103 7 1
298 126 6 1
145 103 7 1
146 103 7 1
147 103 7 1
148 103 7 1
194 134 4 1
195 134 4 1
196 134 4 1
197 134 4 1
198 134 4 1
199 134 4 1
200 134 4 1
288 25 9 0
340 227 5 1
289 25 9 0
341 227 5 1
290 25 9 0
342 227 5 1
291 25 9 0
343 227 5 1
292 25 9 0
344 227 5 1
293 25 9 0
345 227 5 1
294 25 9 0
346 227 5 1
295 25 9 0
195 204 4 1
196 204 4 1
197 204 4 1
198 204 4 1
199 204 4 1
200 204 4 1
201 204 4 1
341 196 5 1
342 196 5 1
343 196 5 1
344 196 5 1
345 196 5 1
346 196 5 1
347 196 5 1
195 173 4 1
196 173 4 1
197 173 4 1
198 173 4 1
199 173 4 1
334 266 5 1
200 173 4 1
335 266 5 1
201 173 4 1
336 266 5 1
337 266 5 1
338 266 5 1
339 266 5 1
340 266 5 1
195 243 4 1
196 243 4 1
197 243 4 1
198 243 4 1
199 243 4 1
200 243 4 1
201 243 4 1
144 111 7 1
145 111 7 1
127 181 12 1
146 111 7 1
128 181 12 1
147 111 7 1
129 181 12 1
148 111 7 1
130 181 12 1
149 111 7 1
131 181 12 1
150 111 7 1
195 142 4 1
196 142 4 1
197 142 4 1
198 142 4 1
199 142 4 1
200 142 4 1
284 33 9 0
201 142 4 1
