162 408 341
240 233 -1 0
243 232 -1 0
242 232 -1 0
241 232 -1 0
240 232 -1 0
239 232 -1 0
238 232 -1 0
237 232 -1 0
244 231 -1 0
243 231 -1 0
242 231 -1 0
241 231 -1 0
240 231 -1 0
239 231 -1 0
238 231 -1 0
237 231 -1 0
236 231 -1 0
244 230 -1 0
243 230 -1 0
242 230 -1 0
241 230 -1 0
240 230 -1 0
239 230 -1 0
238 230 -1 0
237 230 -1 0
236 230 -1 0
244 229 -1 0
243 229 -1 0
242 229 -1 0
241 229 -1 0
240 229 -1 0
239 229 -1 0
238 229 -1 0
237 229 -1 0
236 229 -1 0
245 228 -1 0
244 228 -1 0
243 228 -1 0
242 228 -1 0
241 228 -1 0
240 228 -1 0
239 228 -1 0
238 228 -1 0
237 228 -1 0
236 228 -1 0
235 228 -1 0
244 227 -1 0
243 227 -1 0
242 227 -1 0
241 227 -1 0
240 227 -1 0
239 227 -1 0
238 227 -1 0
237 227 -1 0
236 227 -1 0
244 226 -1 0
243 226 -1 0
242 226 -1 0
241 226 -1 0
240 226 -1 0
239 226 -1 0
238 226 -1 0
237 226 -1 0
236 226 -1 0
244 225 -1 0
243 225 -1 0
242 225 -1 0
241 225 -1 0
240 225 -1 0
239 225 -1 0
238 225 -1 0
237 225 -1 0
236 225 -1 0
243 224 -1 0
242 224 -1 0
241 224 -1 0
240 224 -1 0
239 224 -1 0
238 224 -1 0
237 224 -1 0
240 223 -1 0
210 153 -1 1
213 152 -1 1
212 152 -1 1
211 152 -1 1
210 152 -1 1
209 152 -1 1
208 152 -1 1
207 152 -1 1
214 151 -1 1
213 151 -1 1
212 151 -1 1
211 151 -1 1
210 151 -1 1
209 151 -1 1
208 151 -1 1
207 151 -1 1
206 151 -1 1
214 150 -1 1
213 150 -1 1
212 150 -1 1
211 150 -1 1
210 150 -1 1
209 150 -1 1
208 150 -1 1
207 150 -1 1
206 150 -1 1
214 149 -1 1
213 149 -1 1
212 149 -1 1
211 149 -1 1
210 149 -1 1
209 149 -1 1
208 149 -1 1
207 149 -1 1
206 149 -1 1
215 148 -1 1
214 148 -1 1
213 148 -1 1
212 148 -1 1
211 148 -1 1
210 148 -1 1
209 148 -1 1
208 148 -1 1
207 148 -1 1
206 148 -1 1
205 148 -1 1
214 147 -1 1
213 147 -1 1
212 147 -1 1
211 147 -1 1
210 147 -1 1
209 147 -1 1
208 147 -1 1
207 147 -1 1
206 147 -1 1
214 146 -1 1
213 146 -1 1
212 146 -1 1
211 146 -1 1
210 146 -1 1
209 146 -1 1
208 146 -1 1
207 146 -1 1
206 146 -1 1
214 145 -1 1
213 145 -1 1
212 145 -1 1
211 145 -1 1
210 145 -1 1
209 145 -1 1
208 145 -1 1
207 145 -1 1
206 145 -1 1
213 144 -1 1
212 144 -1 1
211 144 -1 1
210 144 -1 1
209 144 -1 1
208 144 -1 1
207 144 -1 1
210 143 -1 1
