243 408 341
183 209 -1 0
186 208 -1 0
185 208 -1 0
184 208 -1 0
183 208 -1 0
182 208 -1 0
181 208 -1 0
180 208 -1 0
187 207 -1 0
186 207 -1 0
185 207 -1 0
184 207 -1 0
183 207 -1 0
182 207 -1 0
181 207 -1 0
180 207 -1 0
179 207 -1 0
187 206 -1 0
186 206 -1 0
185 206 -1 0
184 206 -1 0
183 206 -1 0
182 206 -1 0
181 206 -1 0
180 206 -1 0
179 206 -1 0
187 205 -1 0
186 205 -1 0
185 205 -1 0
184 205 -1 0
183 205 -1 0
182 205 -1 0
181 205 -1 0
180 205 -1 0
179 205 -1 0
188 204 -1 0
187 204 -1 0
186 204 -1 0
185 204 -1 0
184 204 -1 0
183 204 -1 0
182 204 -1 0
181 204 -1 0
180 204 -1 0
179 204 -1 0
178 204 -1 0
187 203 -1 0
186 203 -1 0
185 203 -1 0
184 203 -1 0
183 203 -1 0
182 203 -1 0
181 203 -1 0
180 203 -1 0
179 203 -1 0
187 202 -1 0
186 202 -1 0
185 202 -1 0
184 202 -1 0
183 202 -1 0
182 202 -1 0
181 202 -1 0
180 202 -1 0
179 202 -1 0
187 201 -1 0
186 201 -1 0
185 201 -1 0
184 201 -1 0
183 201 -1 0
182 201 -1 0
181 201 -1 0
180 201 -1 0
179 201 -1 0
186 200 -1 0
185 200 -1 0
184 200 -1 0
183 200 -1 0
182 200 -1 0
181 200 -1 0
180 200 -1 0
183 199 -1 0
278 173 -1 0
281 172 -1 0
280 172 -1 0
279 172 -1 0
278 172 -1 0
277 172 -1 0
276 172 -1 0
275 172 -1 0
282 171 -1 0
281 171 -1 0
280 171 -1 0
279 171 -1 0
278 171 -1 0
277 171 -1 0
276 171 -1 0
275 171 -1 0
274 171 -1 0
282 170 -1 0
281 170 -1 0
280 170 -1 0
279 170 -1 0
278 170 -1 0
277 170 -1 0
276 170 -1 0
275 170 -1 0
274 170 -1 0
282 169 -1 0
281 169 -1 0
280 169 -1 0
279 169 -1 0
278 169 -1 0
277 169 -1 0
276 169 -1 0
275 169 -1 0
274 169 -1 0
283 168 -1 0
282 168 -1 0
281 168 -1 0
280 168 -1 0
279 168 -1 0
278 168 -1 0
277 168 -1 0
276 168 -1 0
275 168 -1 0
274 168 -1 0
273 168 -1 0
282 167 -1 0
281 167 -1 0
280 167 -1 0
279 167 -1 0
278 167 -1 0
277 167 -1 0
276 167 -1 0
275 167 -1 0
274 167 -1 0
282 166 -1 0
281 166 -1 0
280 166 -1 0
279 166 -1 0
278 166 -1 0
277 166 -1 0
276 166 -1 0
275 166 -1 0
274 166 -1 0
282 165 -1 0
281 165 -1 0
280 165 -1 0
279 165 -1 0
278 165 -1 0
277 165 -1 0
276 165 -1 0
275 165 -1 0
274 165 -1 0
281 164 -1 0
280 164 -1 0
279 164 -1 0
278 164 -1 0
277 164 -1 0
276 164 -1 0
275 164 -1 0
278 163 -1 0
200 150 -1 1
203 149 -1 1
202 149 -1 1
201 149 -1 1
200 149 -1 1
199 149 -1 1
198 149 -1 1
197 149 -1 1
204 148 -1 1
203 148 -1 1
202 148 -1 1
201 148 -1 1
200 148 -1 1
199 148 -1 1
198 148 -1 1
197 148 -1 1
196 148 -1 1
204 147 -1 1
203 147 -1 1
202 147 -1 1
201 147 -1 1
200 147 -1 1
199 147 -1 1
198 147 -1 1
197 147 -1 1
196 147 -1 1
204 146 -1 1
203 146 -1 1
202 146 -1 1
201 146 -1 1
200 146 -1 1
199 146 -1 1
198 146 -1 1
197 146 -1 1
196 146 -1 1
205 145 -1 1
204 145 -1 1
203 145 -1 1
202 145 -1 1
201 145 -1 1
200 145 -1 1
199 145 -1 1
198 145 -1 1
197 145 -1 1
196 145 -1 1
195 145 -1 1
204 144 -1 1
203 144 -1 1
202 144 -1 1
201 144 -1 1
200 144 -1 1
199 144 -1 1
198 144 -1 1
197 144 -1 1
196 144 -1 1
204 143 -1 1
203 143 -1 1
202 143 -1 1
201 143 -1 1
200 143 -1 1
199 143 -1 1
198 143 -1 1
197 143 -1 1
196 143 -1 1
204 142 -1 1
203 142 -1 1
202 142 -1 1
201 142 -1 1
200 142 -1 1
199 142 -1 1
198 142 -1 1
197 142 -1 1
196 142 -1 1
203 141 -1 1
202 141 -1 1
201 141 -1 1
200 141 -1 1
199 141 -1 1
198 141 -1 1
197 141 -1 1
200 140 -1 1
